City;ACC_KP;ACC_CL;ACC_EY;ACC_AA;ACC_PW;ADV_GR;ADV_DM;ADV_LH;ADV_SS;ADV_TH;ADV_OM;ADV_DE;ADV_YR;ADV_TM;ADV_PU;ADV_AM;BAN_HS;BAN_BA;BAN_NW;BAN_ST;BAN_CR;BAN_DR;BAN_MO;BAN_PA;BAN_CS;BAN_BB;BAN_BT;BAN_UB;BAN_AB;BAN_CB;LAW_BM;LAW_WC;LAW_LL;LAW_CO;LAW_SK;LAW_BC;LAW_DW;LAW_GJ;LAW_HH;LAW_JD;LAW_MC;LAW_SQ;LAW_WE;LAW_AO;LAW_CC;LAW_FF;
Miami;2;1;2;1;1;0;0;0;1;1;1;0;2;2;0;1;0;0;1;2;0;0;0;0;1;3;1;0;0;1;3;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0;33
Milan;2;3;3;2;3;1;1;1;0;1;1;1;3;1;3;2;1;2;1;0;1;1;2;3;1;3;2;1;1;0;3;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;56
Minneapolis;2;2;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;13
Montreal;3;2;3;2;1;1;1;0;0;1;0;0;1;2;3;1;2;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
Moscow;2;1;1;2;2;0;1;1;1;1;0;1;1;0;1;1;2;1;1;0;3;0;1;1;3;2;0;0;1;0;3;2;2;2;1;0;0;0;1;0;0;0;0;1;1;1;45
Munich;2;2;3;2;1;0;0;0;0;0;0;0;0;0;1;2;0;2;1;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
New York;3;3;3;2;3;1;1;1;1;1;1;3;3;3;1;3;3;3;3;3;2;2;3;3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;3;1;2;3;1;1;1;105
Osaka;1;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
Paris;3;3;3;2;3;1;1;1;1;1;1;2;0;1;3;3;2;3;3;0;0;0;2;3;1;3;3;1;1;1;3;3;0;3;2;0;0;0;2;3;0;0;0;1;1;1;71
Prague;1;1;1;1;1;0;1;1;1;1;1;0;2;0;2;3;2;1;0;0;3;0;1;1;0;0;2;1;1;0;1;2;0;0;0;0;0;0;1;0;0;2;0;1;1;0;37
Rome;1;1;3;2;2;0;1;0;0;1;0;0;0;0;1;0;1;2;0;0;0;0;1;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;24
San Francisco;3;3;3;1;2;1;1;0;1;1;0;0;2;1;2;0;2;2;1;0;1;1;3;1;0;0;1;1;1;1;3;0;3;3;3;0;0;3;0;0;0;0;3;0;0;0;54
Sao Paulo;2;2;2;1;2;1;1;1;1;1;1;0;3;0;2;1;2;2;0;0;1;0;2;2;1;2;2;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
Santiago;1;2;2;1;3;1;1;0;1;0;1;0;2;0;1;2;2;1;0;0;0;0;1;1;1;2;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
Seoul;2;2;2;1;3;0;1;0;1;1;1;2;0;0;1;2;2;2;1;2;0;0;2;3;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
Shanghai;1;1;1;1;2;0;1;0;1;1;0;3;0;0;0;1;2;0;1;3;0;0;1;3;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;27
Singapore;2;2;1;1;2;1;1;1;1;1;1;3;2;0;2;1;3;3;2;3;1;1;3;3;3;0;3;3;1;0;3;2;0;1;1;0;0;0;0;0;0;0;0;1;1;1;61
Stockholm;3;3;2;1;1;1;1;1;1;1;1;0;2;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
Sydney;3;3;3;2;2;1;1;0;1;1;1;3;2;0;3;3;2;3;3;2;0;1;2;2;0;0;3;1;1;1;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;56
Taipei;2;2;2;1;1;1;1;0;1;1;1;3;0;0;0;1;2;2;1;3;0;0;2;3;0;0;3;1;1;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;41
Tokyo;3;3;3;2;3;1;1;0;1;1;1;0;2;1;0;1;2;3;1;2;1;1;2;3;3;3;3;3;1;1;3;3;0;1;1;0;0;1;0;1;0;0;1;1;1;1;66
Toronto;3;3;3;2;3;1;1;1;1;1;1;1;1;2;3;3;2;2;1;0;0;1;2;2;1;0;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
Warsaw;1;1;2;1;1;0;1;1;0;1;1;0;1;0;3;1;1;1;0;0;3;0;1;1;0;0;1;1;1;0;3;3;0;0;0;0;0;0;2;0;1;0;0;1;1;0;36
Washington, DC;3;3;3;2;2;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;3;3;3;3;3;3;3;2;3;3;1;3;2;0;0;0;54
Zurich;2;2;3;1;2;1;1;1;1;1;1;0;2;0;2;2;2;1;3;0;0;2;2;1;3;2;3;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
